id_resena,banco,canal,fecha,calificacion,comentario,tema_sintetico
248,Banorte,Chat / Call Center,2025-09-03,4,"El servicio al cliente de Banorte superó mis expectativas, muy atentos.",atencion
249,Santander,App Movil,2026-01-11,5,Me siento muy segura con la autenticacion de dos pasos de Santander.,seguridad
250,BBVA,App Movil,2025-11-16,1,"Demasiada demora para resolver un reclamo simple, muy mala experiencia.",tiempos
251,BBVA,Chat / Call Center,2026-06-10,1,Los cargos ocultos de BBVA son un abuso total.,costos
252,Nubank,Chat / Call Center,2026-06-22,4,"Muy buena la app movil, puedo hacer transferencias sin ningun problema.",tecnologia
253,Scotiabank,App Movil,2026-05-06,3,El asesor fue correcto pero se demoro un poco en responder.,atencion
254,Banco de Chile,Banca en Linea,2026-06-22,1,Sufri un intento de fraude y el banco tardo dias en responder.,seguridad
255,Banorte,Chat / Call Center,2025-11-14,2,Los cargos ocultos de Banorte son un abuso total.,costos
256,Nubank,Chat / Call Center,2025-08-13,4,"El servicio al cliente de Nubank superó mis expectativas, muy atentos.",atencion
257,Banorte,App Movil,2025-12-01,5,"Me gusta que Banorte no tiene cargos ocultos, todo es transparente.",costos
258,Scotiabank,Chat / Call Center,2025-10-22,5,"Muy buena atencion en la sucursal, todo el personal fue amable.",atencion
259,Banorte,App Movil,2026-04-13,2,Sufri un intento de fraude y el banco tardo dias en responder.,seguridad
260,Nubank,Chat / Call Center,2026-02-13,5,"La app de Nubank es muy rapida y facil de usar, hago todo en segundos.",tecnologia
261,Scotiabank,App Movil,2025-11-28,3,"El tramite tomo el tiempo esperado, sin sorpresas.",tiempos
262,Banorte,App Movil,2025-08-21,1,"Subieron la comision de mantenimiento sin avisarme, muy molesto.",costos
263,BCP,App Movil,2026-05-02,4,"La app tiene buena seguridad, siempre piden verificacion biometrica.",seguridad
264,BCP,Banca en Linea,2026-03-16,1,Sufri un intento de fraude y el banco tardo dias en responder.,seguridad
265,BBVA,Banca en Linea,2026-04-27,5,"Nunca he tenido problemas de seguridad con BBVA, confio plenamente.",seguridad
266,Scotiabank,Banca en Linea,2025-09-24,3,El costo del mantenimiento de cuenta esta en el promedio del mercado.,costos
267,Banco de Chile,App Movil,2026-05-17,3,La atencion en sucursal fue en un tiempo razonable.,tiempos
268,Banorte,Chat / Call Center,2026-05-15,2,"Tengo miedo de usar la app de Banorte, no confio en su seguridad.",seguridad
269,Banco de Chile,Banca en Linea,2025-11-05,2,Sufri un intento de fraude y el banco tardo dias en responder.,seguridad
270,BCP,App Movil,2025-11-29,5,"La actualizacion de la app quedo genial, ahora todo carga mas rapido.",tecnologia
271,Nubank,App Movil,2026-06-11,2,"Subieron la comision de mantenimiento sin avisarme, muy molesto.",costos
272,BCP,Banca en Linea,2025-10-27,3,Las comisiones de BCP son similares a las de otros bancos.,costos
273,Interbank,Chat / Call Center,2026-07-01,5,"Excelente atencion por chat, me ayudaron rapido y con mucha paciencia.",atencion
274,BCP,App Movil,2026-05-31,2,Los cargos ocultos de BCP son un abuso total.,costos
275,Banorte,App Movil,2025-09-23,5,"Nunca he tenido problemas de seguridad con Banorte, confio plenamente.",seguridad
276,Santander,Banca en Linea,2025-11-18,5,Las tarifas de Santander son las mas bajas que he encontrado.,costos
277,BCP,App Movil,2025-10-30,3,"La atencion fue normal, ni buena ni mala, resolvieron mi caso.",atencion
278,Banco de Chile,Chat / Call Center,2026-04-23,1,Llevo mas de una hora esperando que me atiendan en el chat.,tiempos
279,Banco de Chile,Banca en Linea,2026-03-08,1,Me tuvieron horas en espera y al final no solucionaron nada.,atencion
280,BCP,App Movil,2026-02-09,2,"El tramite de mi tarjeta demoro casi un mes, una demora inaceptable.",tiempos
281,BCP,App Movil,2025-09-29,3,"La atencion fue normal, ni buena ni mala, resolvieron mi caso.",atencion
282,BBVA,Chat / Call Center,2025-09-22,2,La app de BBVA se cae constantemente y no puedo revisar mi saldo.,tecnologia
283,BBVA,App Movil,2025-08-27,1,"El tramite de mi tarjeta demoro casi un mes, una demora inaceptable.",tiempos
284,Interbank,Chat / Call Center,2025-12-19,5,"Me gusta que Interbank no tiene cargos ocultos, todo es transparente.",costos
285,Scotiabank,App Movil,2025-11-09,3,La app de Scotiabank funciona bien pero podria mejorar el diseno.,tecnologia
286,Nubank,Banca en Linea,2026-02-01,5,"Todo fue muy rapido, en minutos ya tenia mi tarjeta activada.",tiempos
287,BCP,App Movil,2025-10-24,1,Los cargos ocultos de BCP son un abuso total.,costos
288,Santander,Banca en Linea,2025-11-26,5,"Muy buena atencion en la sucursal, todo el personal fue amable.",atencion
289,Banorte,Banca en Linea,2025-12-12,5,"Me encanta el nuevo diseno de la app, es intuitivo y no se traba.",tecnologia
290,Nubank,App Movil,2026-04-24,1,Me tuvieron horas en espera y al final no solucionaron nada.,atencion
291,Banco de Chile,App Movil,2026-07-03,1,Me bloquearon la cuenta sin explicacion y fue una pesadilla recuperarla.,seguridad
292,Interbank,Chat / Call Center,2025-09-19,1,"El tramite de mi tarjeta demoro casi un mes, una demora inaceptable.",tiempos
293,Scotiabank,App Movil,2025-10-13,5,"Me gusta que Scotiabank no tiene cargos ocultos, todo es transparente.",costos
294,Banco de Chile,App Movil,2026-01-08,2,Sufri un intento de fraude y el banco tardo dias en responder.,seguridad
295,Interbank,Chat / Call Center,2025-10-04,5,Me siento muy segura con la autenticacion de dos pasos de Interbank.,seguridad
296,Banco de Chile,App Movil,2025-07-31,5,"El tramite en Banco de Chile fue rapidisimo, no esperé nada.",tiempos
297,Nubank,Chat / Call Center,2025-10-02,5,"La actualizacion de la app quedo genial, ahora todo carga mas rapido.",tecnologia
298,BBVA,Banca en Linea,2026-06-25,1,"Muy mala atencion en la sucursal, el personal fue prepotente.",atencion
299,Scotiabank,App Movil,2025-09-07,1,"Tengo miedo de usar la app de Scotiabank, no confio en su seguridad.",seguridad
300,BCP,Banca en Linea,2025-09-02,5,"El tramite en BCP fue rapidisimo, no esperé nada.",tiempos
301,Scotiabank,Chat / Call Center,2025-09-29,2,"El tramite de mi tarjeta demoro casi un mes, una demora inaceptable.",tiempos
302,Nubank,App Movil,2025-12-13,3,"Cumple con lo basico, aunque le faltan algunas funciones utiles.",tecnologia
303,Scotiabank,App Movil,2025-08-13,5,"Muy buena la app movil, puedo hacer transferencias sin ningun problema.",tecnologia
304,Scotiabank,Banca en Linea,2025-10-19,1,"Muy mala experiencia, la aplicacion de Scotiabank no carga nunca.",tecnologia
305,Interbank,Banca en Linea,2025-09-24,1,Sufri un intento de fraude y el banco tardo dias en responder.,seguridad
306,Nubank,App Movil,2026-04-28,5,"La actualizacion de la app quedo genial, ahora todo carga mas rapido.",tecnologia
307,Scotiabank,Banca en Linea,2026-06-13,2,"Tengo miedo de usar la app de Scotiabank, no confio en su seguridad.",seguridad
308,Scotiabank,Chat / Call Center,2026-01-03,5,"El servicio al cliente de Scotiabank superó mis expectativas, muy atentos.",atencion
309,Nubank,Banca en Linea,2026-01-14,2,"Tengo miedo de usar la app de Nubank, no confio en su seguridad.",seguridad
310,Scotiabank,Chat / Call Center,2026-03-10,1,"Subieron la comision de mantenimiento sin avisarme, muy molesto.",costos
311,Banco de Chile,Banca en Linea,2026-03-30,2,Me tuvieron horas en espera y al final no solucionaron nada.,atencion
312,Nubank,Chat / Call Center,2026-02-24,2,Los cargos ocultos de Nubank son un abuso total.,costos
313,Banorte,Chat / Call Center,2026-05-01,5,"El tramite en Banorte fue rapidisimo, no esperé nada.",tiempos
314,Scotiabank,Banca en Linea,2026-03-05,5,"Me encanta el nuevo diseno de la app, es intuitivo y no se traba.",tecnologia
315,Banco de Chile,App Movil,2026-05-20,3,El asesor fue correcto pero se demoro un poco en responder.,atencion
316,BBVA,Banca en Linea,2025-10-16,2,"Pesimo servicio al cliente, nadie responde en el chat.",atencion
317,Banorte,App Movil,2025-11-15,1,La app de Banorte se cae constantemente y no puedo revisar mi saldo.,tecnologia
318,BCP,App Movil,2025-08-14,1,El asesor de BCP fue muy grosero y no resolvio mi problema.,atencion
319,Nubank,App Movil,2025-08-18,3,El asesor fue correcto pero se demoro un poco en responder.,atencion
320,Interbank,Banca en Linea,2026-06-25,2,"Muy mala experiencia, la aplicacion de Interbank no carga nunca.",tecnologia
